"comic_books,comic_book_character,first_appearance"
"soccer,football_league,league_system"
"base,tournaments,tournament_match,tournament"
"internet,api,protocols"
"user,skud,nuclear_weapons,nuclear_test_site,nuclear_test_series"
"base,landcover,category_quality,categories_with_this_quality"
"base,propositions,proposition,voting_district"
"comic_books,comic_book_issue,characters_on_cover"
"soccer,fifa,leagues_governed"
"base,peleton,cycling_team_professional,participated_in_this_race_event"
"education,fraternity_sorority,fraternity_sorority_type"
"user,synedra,didwho,person,famous_for"
"location,ru_oblast,administrative_center"
"user,gromul,my_comic_book_domain,media_franchise,game"
"base,crime,law_firm,lawyers_in_firm"
"user,philg,default_domain,concert_tour,artist"
"base,landcover,code_category,qualities"
"base,database,database_host,database_s"
"base,x2010fifaworldcupsouthafrica,fifa_world_cup,runner_up"
"astronomy,constellation,meteor_showers"
"zoos,zoo,memberships"
"base,rollerderby,league,location"
"user,zeusi,default_domain,sport_governing_body,series_organized"
"base,jewlib,judaica_owner,parent_collections"
"base,peleton,road_bicycle_racing_event,team_competion_winner"
"base,handball,handball_organization,leagues_governed"
"base,banking,central_bank,country"
"user,akatenev,weapons,weapon,variants"
"user,micahsaul,five_alarm_food,chili_pepper,species"
"base,caveart,cave,region"
"location,uk_non_metropolitan_district,administrative_headquarters"
"spaceflight,rocket,country_of_origin"
"base,americancivilwar,ship,conflicts_involved_in"
"food,wine_style,place_of_origin"
"user,thadguidry,default_domain,usoc_governing_body,sport_governed"
"user,ktrueman,default_domain,academic_journal,field"
"travel,hotel_brand_owner,hotel_brands_owned"
"olympics,olympic_event,competitions"
"base,peleton,road_bicycle_racing_event,teams_participating_uci_protour"
"sports,tournament_event,sport"
"visual_art,artwork,belongs_to_series"
"business,defunct_company,reason_for_ceasing_operations"
"base,jamesbond007,james_bond_villain,weapon_s_of_choice"
"base,knockoffs,knockoffed,knockoffs"
"base,exercises,body_part,muscle"
"base,sails,sailing_ship,designer"
"kp_lw,wine_grape_variety,origin"
"user,ansamcw,default_domain,american_idol_season,winner"
"base,worldwonders,ancient_wonder,wonder_creator"
"cricket,cricket_tournament,events"
"business,trade_union,professions_represented"
"user,sandos,software,remote_ui,remote_software"
"soccer,football_match,referee"
"fictional_universe,fictional_universe,languages"
"food,dish,cuisine"
"base,peleton,road_bicycle_racing_event,points_winner"
"base,abcbirds,project_lead,project_s_coordinated"
"user,kgyst,default_domain,rocket_flight,lanuch_site"
"fictional_universe,fictional_language,found_in_fictional_universe"
"base,infrastructure,lock,on_body_of_water"
"theater,theater_producer,plays_produced"
"base,filmcameras,camera,lens_mount"
"cricket,cricket_administrative_body,jurisdiction"
"base,locations,cities_and_towns,county"
"book,book_edition_series,series_editor"
"base,abcbirds,conservation_project,lead_contact_person_s"
"user,philg,default_domain,concert_tour,album_or_release_supporting"
"base,mediaextended,film_ranch,film_ranch_owner"
"government,legislative_session,legislature"
"base,culturalevent,person,entity_involved"
"user,techgnostic,default_domain,tv_series_seasons,serials"
"base,localfood,regional_food_source,food"
"base,caveart,region,caves"
"music,concert_tour,concert_films_or_videos"
"user,arielb,israel,regional_council,settlements"
"user,evening,curly_girl,ingredient_function,hair_care_ingredient"
"user,skud,nuclear_weapons,nuclear_test_series,site_s"
"user,jschell,default_domain,music_venue,band_hosted"
"location,citytown,city_limits"
"user,skud,nuclear_weapons,nuclear_test,nuclear_test_series"
"base,vancouver,podcast,podcaster"
"base,engineering,engineering_person,engineering_disciplines"
"base,database,database,database_host"
"base,fictionaluniverse,impersonated_fictional_character,impersonated_by"
"base,naturalist,taxon_traits,contained_by_trait_s"
"user,jonathanwlowe,location,city_limits,bounds_city"
"base,landcover,code_category,contains_categories"
"base,engineering,dike,body_of_water"
"dining,cuisine,dishes"
"user,jefft0,default_domain,virus_classification_rank,virus_classifications_at_this_rank"
"soccer,football_league,governing_body"
"architecture,type_of_museum,museums"
"base,filmcameras,lens_mount,cameras"
"base,ndbcd,buoy,owned_by"
"base,thesocialset,clique,clique_member_s"
"law,inventor,us_patents"
"base,bioventurist,technology_class,company_involved"
"user,alexbl,honorary_title,chivalric_order,titles_given"
"user,tim_mcnamara,default_domain,new_zealand_state_sector_organisation,enabling_legislation"
"government,electoral_college,elections"
"base,collectives,collective,focus_or_interest"
"people,profession,represented_by_trade_unions"
"geology,geological_formation,formed_during_period"
"education,fraternity_sorority_type,fraternities_and_sororities"
"base,mullardspacesciencelaboratoryprojects,observation_satellite,main_observation_target"
"food,beer,country"
"user,spencermountain,default_domain,juice,made_of"
"business,product_theme,products"
"base,crime,criminal_trial,judge"
"exhibitions,exhibition,exhibits"
"base,jewlib,parent_collection,holder"
"base,engineering,flooding_body_of_water,flood_defence_dikes"
"user,paul_houle,default_domain,nuclear_reactor,moderator"
"cvg,computer_game_engine,predecessor_engine"
"internet,protocol,api"
"base,thebigpitch,product_promoted,celebrity_associated_with_this_product"
"base,crime,type_of_law_enforcement_agency,includes_types"
"music,concert_film,concert_tour"
"base,peleton,cycling_team_professional,cycling_team_status"
"base,fight,labour_dispute,employer"
"base,peleton,cyclist,race_s_won_for_points_sprint_classification"
"base,knockoffs,knockoff,knockoff_of"
"base,cars_refactor,company,primary_make"
"user,ptomblin,default_domain,waypoint,country"
"base,tournaments,tournament_round,tournament"
"cvg,input_method,games_using_this"
"base,educationalshortfilm,studios_and_companies,location"
"user,tadhg,irish_politics,dail_eireann_constituency,counties"
"theater,theater_production,director"
"base,mystery,cryptid,area_of_occurrence"
"base,services,art_gallery,artists"
"user,ddammann,default_domain,teacher,students"
"cvg,computer_game_engine,successor_engine"
"base,jewlib,research_center,parent_institution"
"boats,ship,means_of_propulsion"
"base,mystery,cryptid_observation_location,cryptid_s_occurring_here"
"base,givennames,given_name,language"
"base,pests,pesticide,pesticide_class"
"music,concert,concert_video"
"base,sails,sailboat,rigging_type_s"
"user,rcheramy,default_domain,newspaper,city"
"music,artist,tribute_acts"
"rail,steam_locomotive_class,wheel_configuration"
"astronomy,galactic_filament,galaxy_superclusters"
"base,bioventurist,science_or_technology_company,area_of_expertise"
"base,ecology,ecosystem,type_of_ecosystem"
"base,formula1,formula_1_grand_prix,country"
"base,naturalist,taxon_traits,contains_trait_s"
"base,futebol,team_manager,team"
"base,crime,crime,law_enforcement_authority"
"base,mediaextended,film_ranch_owner,film_ranch_owned"
"user,techgnostic,default_domain,doctor_who_episode,featured_doctor"
"base,linkeddata,linked_data_website,maps_from"
"user,kaalita,default_domain,fan_club,idol"
"business,product_ingredient,derivatives"
"user,rcheramy,default_domain,hockey_team,owner"
"base,propositions,voting_district,proposition"
"user,akatenev,weapons,weapon,variant_of"
"base,crime,law_enforcement_authority,investigated_crimes"
"music,featured_artist,recordings"
"user,kwelle,default_domain,snooker_tournament,tournament_location"
"user,alexbl,honorary_title,honorary_title,chivalric_order"
"base,vancouver,podcaster,podcast"
"travel,hotel_brand,owned_by"
"user,brandon_macuser,default_domain,bible_translation,publisher"
"base,scubadiving,province,contains"
"base,motorsports,circuit,founding_designer"
"user,narphorium,default_domain,product,brand"
"user,skud,nuclear_weapons,nuclear_test_series,tests_in_series"
"base,fragrances,fragrances,perfumer"
"user,ddammann,default_domain,hypothesis,originator"
"cvg,cvg_publisher,game_versions_published"
"music,musical_tribute_act,tribute_of"
"base,breakfast,breakfast_cereal_ingredient,brands"
"base,impostors,impostor,individuals_impersonated"
"user,dharmatech,default_domain,political_organization,founders"
"cricket,cricket_tournament_event,tournament"
"base,americancivilwar,battle,ships_involved_in_this_conflict"
"user,arielb,israel,israeli_settlement,regional_council"
"book,series_editor,book_edition_series_edited"
"user,anandology,default_domain,railway_station,location"
"user,jfry,default_domain,knight,knighted_by"
"games,game,game_subjects"
"base,breakfast,breakfast_cereal_brand,varieties"
"olympics,olympic_athlete_affiliation,athlete"
"astronomy,meteor_shower,radiant"
"user,skud,boats,sailing_vessel_rig,included_in_rig"
"base,collectives,collective_focus,collectives"
"base,sportssandbox,sports_recurring_event,governing_body"
"base,breakfast,breakfast_cereal_brand,flavor"
"theater,theater_director,plays_directed"
"user,jamie,default_domain,yacht_racing,competition,ports"
"base,breakfast,breakfast_cereal_brand,variety_of"
"business,product_ingredient,derived_from"
"business,consumer_product,themes"
"base,crime,type_of_law_enforcement_agency,included_in_types"
"user,akatenev,weapons,military_vehicle,engine"
"base,linkeddata,linked_data_website,maps_to"
"base,fictionaluniverse,fictional_impersonator,impersonated"
"base,database,database,home_page1"
"base,peleton,cycling_organization_membership,cycling_teams_of_this_rank"
"base,ecology,type_of_ecosystem,ecosystems_of_this_type"
"base,peleton,road_bicycle_racing_event,finish_location"
"base,localfood,regional_food,originated_from"
"base,crime,lawyer,law_firm"
"soccer,football_league_system,leagues"
"base,tournaments,tournament,matches"
"base,associationfootball,soccer_match,team"
"music,concert_film,concert"
"soccer,football_referee,main_referee_for"
"base,roses,roses,named_after"
"base,monster,monster,nations_laid_low"
"base,educationalshortfilm,educational_short_film,subject"
"base,futebol,team,manager"
"base,jewlib,parent_institution,jewish_studies_research_units"
"base,braziliangovt,brazilian_political_party,president"
"user,micahsaul,five_alarm_food,chili_species,chili_peppers_of_this_species"
"base,breakfast,breakfast_cereal_brand,ingredients"
"base,fashionmodels,hair_color,fashion_models_with_this_hair_color"
"user,narphorium,default_domain,brand,products"
"computer,software,license"
"business,company_termination_type,companies"
"user,zeusi,default_domain,sports_series,organizer"
"user,micahsaul,advertising,ad_campaign_type,campaigns_of_this_type"
"education,school_district,highest_grade_taught"
"travel,hotel,restaurants_in_hotel"
"user,weel,default_domain,periodical,publisher"
"base,fashionmodels,fashion_model,hair_color"
"olympics,olympic_event_competition,event"
"user,alexander,misc,review,mentions"
"base,ancientegypt,pyramid,site"
"cvg,musical_game,input_method"
"olympics,olympic_athlete,country"
"user,coco,science,concepts_theories,collaborators"
"business,industry,trade_unions"
"exhibitions,exhibit,exhibitions_displayed_in"
"food,wine_style,wine_types"
"base,landcover,code_category,contained_by_category"
"biology,deceased_organism,place_of_death"
"base,locations,counties_parishes_and_boroughs,cities_within"
"wine,wine_region,wine_styles"
"base,armoryshow1913,exhibited_artist,exhibited_work"
"law,us_patent,inventor"
"user,benstiglitz,default_domain,portable_media_player,supported_media_formats"
"base,breakfast,breakfast_cereal_flavor,brands"
"base,phytochemical,flavonoid,common_food_sources"
"comic_books,comic_book_character,cover_appearances"
"base,ballet,ballet_school,notable_graduates"
"base,database,database_website,linked_database_s"
"automotive,platform,related"
"music,recording,featured_artists"
"computer,software,service_network"
"user,micahsaul,advertising,ad_campaign,type_of_campaign"
"user,jfry,default_domain,state12,ciudades_1231"
"user,skud,boats,sailing_vessel_rig,includes_rigs"
"theater,theater_production,producer"
"automotive,manufacturing_plant,location"
"base,mystery,cryptid_area_of_occurrence,cryptid_s_found_here"
"architecture,museum,type_of_museum"
"business,trade_union,industry"
"government,indirect_election,electors"
"government,governmental_body,sessions"
"user,vtalwar,default_domain,remake,remake_of"
"base,scubadiving,ecoregion,province"
"base,americancivilwar,theater,campaigns"
"geography,geographical_feature_category,subcategory_of"
"base,honouriam,honoured_person,honoured_by"
"rail,steam_locomotive_wheel_configuration,locomotive_classes"
"base,fight,labour_dispute,union_s"
"olympics,olympic_event_competition,olympic_games_contested"
"user,jefft0,default_domain,virus_classification,rank"
"base,peleton,cycling_team_professional,race_s_won_for_the_team_competition"
"user,alexander,misc,parody,parody_of"
"astronomy,galactic_super_cluster,galaxy_filament"
"user,evening,curly_girl,hair_care_ingredient,ingredient_function"
"user,frakilk,default_domain,family,division"
"user,techgnostic,default_domain,tv_series_serial,season"
"base,tournaments,tournament,rounds"
"base,famouspets,pet,breed"
"base,mystery,cryptid_classification,area_of_occurrence"
"user,i001962,consumer_preferences,brands,city"
"wine,wine_type,wine_styles"
"base,associationfootball,soccer_squad,match"
"fictional_universe,fictional_organization_type,organizations"
"base,thebigpitch,celebrity_spokesperson,producted_promoted"
